,return,allocation,cum_ret
2018-04-23,-0.00014980244923457008,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.002914020416593388
2018-04-24,-0.013467334092411852,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.01059255776232082
2018-04-25,0.002471550933338615,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.008147186875006152
2018-04-26,0.010165541692279014,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.0019355342494202787
2018-04-27,0.0009389248237692279,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.0028762763943435132
2018-04-30,-0.007690458541671386,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.004836302031692941
2018-05-01,0.0017769108646152865,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.003067984844702276
2018-05-02,-0.006717411901779881,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.00976478782857182
2018-05-03,-0.002203917835602364,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",-0.011947184874117944
2018-05-04,0.012946651385626007,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.0008447904739032897
